,sentence,label
19,"The company said that the operations will be sold to a newly established company , CPS GmbH , where the present management of the plastics business is a co-owner .",neutral
20,The use of validation rule base enables verifying that processing rule bases managed by different administrators fulfil some set requirements .,neutral
21,Unilever 's Turun Sinappi that is made in Sweden holds 40 % of the market .,neutral
22,"Technopolis and the St. Petersburg government signed a cooperation memorandum in October 2005 to set up a techno-park in the Neudorf production zone in the village of Strelny , in the St. Petersburg suburbs .",positive
23,"Viking Line has also been forced to alter its timetable so that ferries traveling from Stockholm to Helsinki , Finland , only depart at night .",neutral
24,"The total investment in the Vantaa plant extension will amount to around 10 million euro , and Okmetic 's share of the investments will be worth around 2.7 million .",neutral
25,The parties have therefore agreed to leave Avena out of the deal .,neutral
26,"Westpac Banking Corp - Is to issue a benchmark , 3 year FRN deal in Euros .",neutral
27,"Economic development in China is no longer taking place only on the East coast and in the Shanghai area , Vauramo says .",neutral
28,"However , he expects banks to provide alternative financing .",positive
29,"Finnish Ponsse has signed an agreement with Babcock Africa for the distribution and support of Ponsse forest machines , harvester heads , and information systems in South Africa .",positive
30,"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",neutral
31,"Sales are expected to increase in the end of the year 2006 , however .",positive
32,The contract has been allotted as per lowest price criteria .,neutral
33,The company is well positioned in Brazil and Uruguay .,positive
34,A memorandum of understanding on cooperation between the Finnish Global Chemical Company KEMIRA and Vietnam National Chemicals Group ( Vinachem ) was signed on this occasion .,positive
35,The prices of stainless steel also rose in Europe .,neutral
36,It will use the proceeds from the transaction to achieve its target .,neutral
37,Cash flow from operations rose to EUR 52.7 mn from EUR 15.6 mn in 2007 .,positive
38,"Forestries were also higher , driven by yesterday 's bullish analyst comment on Stora Enso in Dagens Industri , dealers said .",positive
39,Sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects .,positive
40,The deliveries are scheduled for the summer and autumn of 2008 .,neutral
41,"The total donation amount is EUR 1,115,000 .",neutral
42,"The business has sales of about ( Euro ) 35 million ( $ 44million ) , and has been responsible for sales and marketing of Lanxess 's paper chemicals business , which Kemira bought for ( Euro ) 88 million early this year ( CW , Jan. 11 , p. 22 ) .",neutral
43,Finnish home decoration and arts and crafts retailer Tiimari Plc ( OMX Helsinki : TII1V ) reported on Monday ( 18 August ) an operating loss of EUR3 .3 m on net sales of EUR33 .9 m for the period January-June 2008 .,neutral
44,"According to the notification , the holdings of Ameriprice Inc. and its group companies are now in total 808,973 shares , which represent 3.582 % of Tekla -Â¦ s shares and voting rights .",neutral
45,"Huhtamaki 's rigid plastic consumer goods operations , which are mainly in Europe , will be separated into a new reporting segment as of 1 January 2009 .",neutral
46,"- Among other Finnish shares traded in the US , Stora Enso closed 0.33 pct lower at 12.11 eur , UPM-Kymmene was up 0.28 pct at 18.10 eur , and Metso was down 0.13 pct at 31.06 eur .",neutral
47,"Following the move , Stora Enso holding in NewPage will remain unchanged .",neutral
48,"In a media advisory , the NTSB said that after subsequent testing , `` the train detection system intermittently failed . ''",negative
49,The adjustments concern staff in both the Specialty Papers and the Fiber Composites segments .,neutral
50,"Founded in 2000 , BioView automates laboratory tests , especially diagnostic tests for cancer .",neutral
51,`` Demand for sports equipment was good in 2005 .,positive
52,"After the transaction , M-real will own 30 % in Metsa-Botnia and UPM -- 17 % .",neutral
53,"Even so , Tulikivi emissions are well below some of the strictest state standards including Washington and Colorado .",neutral
54,"The EBRD is using its own funds to provide a 21.6 mln A loan while the B portion of 10 mln Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc 7.7 mln Euros and Pohjola Bank Plc 2.3 mln Euros .",neutral
55,"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009",neutral
56,"Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday it returned to a net profit of EUR 2.7 million USD 3.8 m for the first nine months of 2010 versus a net loss of EUR 579,000 for the same period of 2009 .",positive
57,The personnel s expertise and high level of technology play a major role in Exel Composites operations .,neutral
58,The rebuilds are designed to improve the machines ' performance and product quality .,positive
59,The goal is significant expansion in Finland and in the northern Baltic region .,neutral
60,"Kesko offers Hilton to open a hotel on Kalinisky prospect in a 18,000-square metres building because of these difficulties .",neutral
61,The number of bodily injury cases quadrupled in 2000-2006 .,negative
62,The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .,positive
63,"The steelmaker said that the drop in profit was explained by the continuing economic uncertainty , mixed with the current drought in bank lending , resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations .",negative
64,"Profit after taxes for the period was up to EUR0 .9 m , from EUR0 .01 m last year .",positive
65,- Counter your competitor 's strengths and target their weaknesses .,neutral
66,"SAN FRANCISCO ( MarketWatch ) -- Nokia Corp , the world 's largest cell-phone maker , is using the Consumer Electronics Show in Las Vegas to introduce a high-end , thin folding phone , according to a media report Monday .",neutral
67,"These companies own a 20,000 sq. m. office and commercial building and substantial amount of building right for a new shopping center in Liljeholmen , Stockholm .",neutral
68,"The portfolio comprises of 118,000 m2 of leasable space with a vacancy rate of roughly 5 % , let to around 140 tenants of which two of the largest are the Swedish government and Ericsson .",neutral
69,"At the end of March 2009 , the company 's loans amounted to EUR 10.113 mn .",neutral
70,He also mentions that this improvement to the service follows the recent expansion of the Finnlines service from Bilbao via Antwerp and Helsinki and from Hull via Helsinki to St. Petersburg .,positive
71,The bridge is part of the highway 14 development project .,neutral
72,"The company said that it will supply the WCDMA 3G-HSPA radio network , including the modular , high capacity Nokia Flexi WCDMA base station in East Java , Bali , Sumatra and Batam .",positive
73,"Operating profit decreased to nearly EUR 1.7 mn , however .",negative
74,"Motorola , the world 's second-largest maker of cell phones , unveiled the new phone Tuesday in a bid to resurrect its ailing handset business .",neutral
75,"Jukka Hienonen , the current Finnair CEO , will step down at the end of January 2010 .",neutral
76,"Neste Oil said that while results from its biomass to 3 liquids demonstration plant , commissioned in June 2009 , have been promising , no decision on a commercial plant has been taken .",neutral
77,The training modules aim at strengthening the public accounting abilities and fulfilling communal project management .,positive
78,The lay-offs will affect 240 people out of the total 320 Okmetic employees in Finland .,negative
79,The deal is in line with Etteplan 's strategy to operate as a partner of global customers and provide industrial technology design services .,neutral
80,The winner does not have to be present to win .,neutral
81,An appeal concerning the project has been lodged at the Czech Ministry of the Environment .,neutral
82,"EBIT excluding non-recurring items , totalled EUR 67.8 mn , up from EUR 38.1 mn .",positive
83,The company intends to raise production capacity in 2006 .,positive
84,"Earnings per share ( EPS ) were EUR0 .03 , up from the loss of EUR0 .083 .",positive
85,The Engines in Asia-Pacific industry profile is an essential resource for top-level data and analysis covering the engines industry .,neutral
86,"Rohwedder Group is an automotive supplies , telecommunications and electronics industry provider for customers in Europe , North America and Asia .",neutral
87,"Vaisala , headquartered in Helsinki in Finland , develops and manufactures electronic measurement systems for meteorology , environmental sciences , traffic and industry .",neutral
88,The total value of the deliveries is some EUR65m .,neutral
89,Gearing was 43 % compared to 67 % in 2004 .,neutral
90,"Last year , Lemminkainen completed the Kouvola K-supermarket contract .",positive
91,"A. Le Coq Special was developed for the bicentenary of the company and the trade mark , the brewer said .",neutral
92,"The order includes a log handling line , peeling line and drying line for the production of parquet base layer veneer for Plyfa 's Hassela mill , central Sweden .",neutral
93,This is the first time Finnair has been awarded an agreement with the UK government .,positive
94,"( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspond",negative
95,The parties have agreed not to disclose the transaction value .,neutral
96,They are also upset that some of the machinery and work is taken over to Poland .,negative
97,"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .",positive
98,"A worm set to activate Friday will corrupt documents using the most common file types , including '' .",neutral
99,Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices .,neutral
100,"Adanac Molybdenum of Canada has ordered grinding technology for its molybdenum project in British Columbia , Canada , while Shalkiya Zinc of Kazakhstan has awarded a contract for grinding technology for the Shalkiya zinc-lead project in Kazakhstan .",positive
101,Those will be partially offset by a 186 mln eur gain on the sale of its Celbi pulp plant in Portugal .,positive
102,"ISMS does not disclose its financial results , the daily said .",neutral
103,"The start of the negotiations , relating to Glaston 's efficiency program , was announced in October .",neutral
104,"Salcomp Oyj , the Finnish maker of mobile phone chargers , Monday posted a EUR1 .49 million loss in the second quarter compared with a 1.70 million profit in the same period the previous year .",negative
105,The StoneGate product is centrally manageable and suited for both physical and virtual environments .,neutral
106,Nordstjernan has used its option to buy another 22.4 % stake of Salcomp 's shares and votes .,neutral
107,"Paychex has more than 100 offices serving approximately 554,000 payroll clients nationwide as of May 31 , 2009 .",neutral
108,"The apartment block will be well-located , in easy reach of the city center and close to both a school and kindergarten .",positive
109,"`` Our decision and resolve on MeeGo is only stronger , '' she continued .",positive
110,The indexes include the top companies that are committed to sustainable development .,neutral
111,"The fourth quarter saw Rapala swing back to a pretax profit of 1.5 mln eur from a year earlier loss of 1.2 mln on the back of a 30 pct uplift in sales to 44.8 mln eur , and a stronger performance in North America .",positive
112,"` After fixing our home-base , cutting costs and closing the non-profitable units , we are now looking at going forward , ' she said .",positive
113,Three students from Universiti Sains Malaysia have won a study trip to Helsinki .,neutral
114,This acquisition supports our strategy of being close to our customers all around the world offering both equipment and related services .,positive
115,"Amer Sports divests an industrial site in Rumilly , France -  This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .",neutral
116,Finnish electrical components maker Salcomp Oyj ( HEL : SAL1V ) announced today the launch of its latest Twist charger platform .,neutral
117,"A corresponding increase of 85,432.50 euros in Ahlstrom 's share capital has been entered in the Trade Register today .",neutral
118,"no compensation for its news , opinions or distributions .",neutral
119,"M-real Corporation Press release on 3 November at 10:35 am M-real Corporation was the second best company in the materials sector including e.g. forest industry companies in the Carbon Disclosure Leadership Index CDLI , Nordic Report 2009 .",positive
120,"Result before taxes decreased to nearly EUR 14.5 mn , compared to nearly EUR 20mn in the previous accounting period .",negative
121,The company plans to spend the proceeds from the rights offering for strengthening its balance sheet .,neutral
122,This organization will assume the responsibility for operations in Russia .,neutral
123,Okmetic expects its net sales for the first half of 2009 to be less than in 2008 .,negative
124,The purchase price was not disclosed .,neutral
125,Sanoma Magazines ' net sales are estimated to grow in 2006 .,positive
126,"Finnish electronics contract maker Incap Oyj said on January 3 , 2008 it sold its manufacturing facilities in Helsinki to local real estate company Sponda Oyj for 5.3 mln euro ( $ 7.8 mln ) .",neutral
127,"The EBITDA was EUR116m compared to EUR115m , corresponding to an EBITDA margin of 33 % .",positive
128,Kershaw takes up the position with immediate effect from her previous role as marketing manager of Sankey Home & Garden Products .,neutral
129,RSA 's shares closed at 156.9 p at the time of going to press .,neutral
130,"Mr. Jorma Valkama , Managing Director of Suomen Paikallissanomat Oy , states that Rannikkoseutu complements in an outstanding way the current product range of the company .",neutral
131,"Biohit said that it will reduce the number of leased personnel by 10 , and lay off 10 of its own personnel .",negative
132,"BAWAG - Is to issue a benchmark , covered deal .",neutral
133,"Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company .",positive
134,Niam offer financial investors a high return via investments in funds that in turn invest in all types of properties .,neutral
135,COMPTEL CORPORATION Sami Ervio President and CEO Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively .,neutral
136,"`` We love Activision 's fresh , colorful approach to Rapala : We Fish , '' said Kelly Brockpahler , Rapala .",positive
137,The company 's net sales in 2009 totalled MEUR 307.8 with an operating margin of 13.5 per cent .,neutral
138,These savings will have full impact as of the beginning of 2007 .,neutral
139,"A local waste management company , Turun Seudun J+Ã±tehuolto , has planned to set up a 150,000 tonne waste-burning facility .",neutral
140,This includes a EUR 39.5 mn change in the fair value of investment properties .,neutral
141,Profit for the period was EUR 15.6 mn compared to EUR 14.1 mn in 2007 .,positive
142,The value of the orders is about EUR 70mn .,neutral
143,"Finnish newspaper publisher Sanoma , of media group SanomaWSOY , is merging its free sheets Uutislehti 100 and Metro as of mid-September 2008 to form a new free sheet to be named Metro .",neutral
144,I thank Jarmo Ukonaho warmly for his contribution and wish him all the best in the future challenges . '',neutral
145,Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 .,negative
146,No financial details were disclosed .,neutral
147,The implementation of the deal is subject to the approval by the Finnish Competition Authority .,neutral
148,Aviation Systems Maintenance is based in Kansas and generated net sales of USD 2.6 million for 2008 .,neutral
149,R&D Loan ) .,neutral
150,"The equipment Ixonos acquires with this deal includes mechanical engineering hardware ; an RF and antenna measurement laboratory ; facilities for the measurement of audio , cameras and displays ; as well as devices and robot units for the testing of mobile devices .",neutral
151,M+Ã±kel+Ã± is demanding a new Board for the company as well as discussions on the merger of Alma media and media company Talentum .,neutral
152,Neomarkka has played a leading role in a group that aims to restart the production of specialty cellulose fiber in Valkeakoski .,neutral
153,"`` If you need malware removal tools , type the URL of your vendor of choice directly into the browser bar and use links on their website , '' wrote Trend Micro 's Rik Ferguson on Monday .",neutral
154,The customers will have an access to integrated propeller and gear packages from one source .,neutral
155,"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",negative
156,"The approximately 20,000 dwt vessel has been ordered from India .",neutral
157,"Finnish shipping company Finnlines , of the Grimaldi Group , reports its net sales decreased to EUR 241.8 mn in January-June 2009 from EUR 384.0 mn in the corresponding period in 2008 .",negative
158,LSC 's 30 employees will move to Ixonos with their existing status and benefits .,neutral
159,The total amount of subscription prices was recorded in the fund for invested non-restricted equity .,neutral
160,"BasWare Invoice Processing , BasWare Contract Matching , BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay solution suite .",neutral
161,"After buying Eukor Car Carriers 50 percent stake , Grimaldi Group is now the sole owner of the Swedish roll-on , roll-off port of Wallhamn .",neutral
162,"In addition to the Indian market , the new plant will serve Salcomp 's customers globally , the company said .",positive
163,"During the past 10 years the factory has produced many of Nokia 's most popular models including the Nokia 2760 , the Nokia 6300 as well as Nokia 's latest music device the Nokia 5800 Express Music .",neutral
164,"Re-use back into PET bottles has also steadily increased and the rate of use in strapping tape has picked up again after a dip in 2005 , Petcore said previously .",positive
165,Another firm Air Liquide was exempted because it left the market in 1998 .,neutral
166,"Jul. 18 -- Police are looking for a man who they say terrorized three males at gunpoint on East Maple Avenue this afternoon , shooting one of them and kidnapping another .",negative
167,"The NTSB said investigators are set to conduct sight distance tests on July 18 , using trains similar to those involved in the accident .",neutral
168,"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .",negative
169,"Janis Arbidans , CEO of YIT Celtnieciba , said the company was focusing on housing and real estate development market .",neutral
170,The joint venture is planning a quick timetable for negotiating the lease of the potential wind farm areas and for charting the feasibility of the wind farms .,neutral
171,And that 's exactly what happened on a recent weekday when an East Haven baker was brought in to remind residents about the Easter tradition of making wheat and rice pies .,neutral
172,Its other well-known brands include fitness equipment maker Precor and U.S. - based ball sports equipment maker Wilson .,neutral
173,Finland-based Stockmann Group has closed seven franchising sports stores Nike in Russia .,negative
174,"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral
175,"26 January 2011 - Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said yesterday its net loss narrowed to EUR500 ,000 in the last quarter of 2010 from EUR5 .3 m for the same period a year earlier .",positive
176,"BasWare Invoice Processing , BasWare Contract Matching , BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay product suite .",neutral
177,"The joint venture will invest about EUR 500,000 in production technology straight away .",neutral
178,"Operators only need to learn how to use one device for multiple levels of applications , including voice-directed operations .",neutral
179,"In addition to the demand in Finland , the export of lining stone products also increased .",positive
180,"To showcase our end-to-end capabilities at the Mobile World Congress , we arranged an internal MeeGo application development competition to entice developers to create new applications .",neutral
181,Net sales in 2007 totalled EUR 329 million and the operating margin was above 19 % .,neutral
182,"These financing arrangements will enable the company to ensure , in line with its treasury policy , that it has sufficient financial instruments at its disposal for its potential capital requirements .",positive
183,"Fortum holds 90.2 pct of the share capital and 94.4 pct of the voting rights in the company , which it now plans to delist from the Warsaw Stock Exchange .",neutral
184,"In Finland , the five largest brands control 90 % of the beer market .",neutral
185,"`` The margarine business has been put into good shape in the last two years , making it a natural addition to Bunge , which is looking to leverage its position in the Central and Northern European markets , '' Raisio CEO Matti Rihko said in a statement .",positive
186,"Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia .",positive
187,"Of this , EUR 38.8 mn was net interest income .",neutral
188,The annual value of the contracts is estimated at USD 2mn over the next three years .,neutral
189,"Finnish pharmaceuticals company Orion reports profit before taxes of EUR 70.0 mn in the third quarter of 2010 , up from EUR 54.9 mn in the corresponding period in 2009 .",positive
190,Absolut Bank is exploring the possibility of further borrowing .,neutral
191,"Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told .",negative
192,Ponsse will divide its sales and maintenance service network into six geographical areas .,neutral
193,"Salcomp 's charger manufacturing plant in India is located in the Nokia Telecom Park in the state of Tamil Nadu , in the eastern part of India .",neutral
194,"The corresponding increase in the share capital due to these subscriptions with the warrants , in total EUR 1,860.74 , was registered with the Finnish Trade Register on January 4 , 2008 .",neutral
195,The bank 's leasing arm Nordea Liising ended the year with a profit of 4.4 million euros .,neutral
196,He joined Rautakirja in 1997 to lead one of its four business areas and took up the position of President and CEO in 2001 .,neutral
197,The expansion is to be finalized in the autumn of 2009 .,neutral
198,Metso Paper 's delivery will comprise an Advantage DCT 200 tissue machine including quality control and distributed control systems ( QCS-DCS ) .,neutral
199,"With the Basware Connectivity services , companies gain visibility to an audit trail that can be traced from order to goods delivery and invoice .",neutral
200,The solid fuel is heated before sludge is mixed therein . '',neutral
201,"The deal includes the entire personnel of PlanMill Oy , who will transfer to the new company as so-called old employees .",neutral
202,The inventor was issued U.S. Patent No. .,neutral
203,Metso will supply the equipment for two process lines at Northland Resources ' new Kaunisvaara iron ore project in Sweden which exploits Tapuli and Sahavaara iron ore deposits .,positive
204,"The earnings per share for the quarter came in at 0.25 eur , up from the 0.20 eur of the same quarter a year earlier .",positive
205,"The Group 's consolidated net sales for 2008 totaled 3.4 billion euros and it employs approximately 13,000 persons .",neutral
206,The agreement expands Tekla Structures ' scope of use to bridge design .,positive
207,"The Annual Report contains the financial statements , the consolidated financial statements , the report by the Board of Directors and the auditor 's report .",neutral
208,"`` We cut our frequency to New York last year , which explains the fall , '' he said .",negative
209,"Digia will also set up two subsidiaries , Digia Norway AS and Digia USA Inc. .",neutral
210,"As such , the space has blond wood floors ( unlike the rest of the store ) and a notably Scandinavian vibe .",neutral
211,"He answers questions on how many visitors Conversations gets , how big the team is and what the problems are when setting up social media channels .",neutral
212,"Finnish construction company YIT is reducing the number of start-ups of market-financed residential units in 2007 to about 2,300 from the previously announced 2,700 .",negative
213,"Solvay S.A. has engaged Poyry to provide project management , engineering , procurement , and site services for a hydrogen peroxide production plant to be built by a Solvay-BASF joint venture at BASF 's Zandvliet site , Belgium .",neutral
214,"The business transfer will take effect from 1 January 2007 , and in connection with this 47 employees will transfer from Elisa to Daxtum as continuing employees .",neutral
215,"In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",positive
216,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .",positive
217,Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago .,negative
218,The Efore plant at Saarijarvi in central Finland is one of the largest employers in the region .,neutral
219,Almost two thirds of Olvi 's net sales come from outside Finland .,neutral
220,"In addition , a good biological durability is achieved . ''",neutral
221,"The cost of the deal could range from 70 million to 90 million euros depending on the financial results of the two companies in 2008 , the statement says .",neutral
222,Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .,positive
223,The ship unloader is totally enclosed along the entire conveying line to the storage facilities .,neutral
224,Stora Enso owns 43 percent of Bergvik and earns therefore SEK 1.5 bn on the value appreciation .,positive
225,"Kone 's factory located at Ayanambakkam , a suburb to the west of Chennai , is a fully integrated facility which gives it the capability to address costs .",positive
226,"( ADP News ) - Jan 22 , 2009 - Finnish mobile phones maker Nokia Oyj ( OMX : NOK1V ) said today its operating profit decreased to EUR 5 billion ( USD 6.5 bn ) for 2008 from EUR 8 billion for 2007 .",negative
227,"If Honkarakenne starts production there , it will need a partner for sawmill operations .",neutral
228,-- Christine Idzelis EQT Partners sheds Salcomp Swedish financial investor EQT Partners is selling a majority of its stake in mobile phone charger manufacturer Salcomp Oyj to Nordic investment company Nordstjernan AB .,neutral
229,The idea of saving electricity in data transfer is still a new one .,neutral
230,"Community gardening has become a popular activity , especially to raise vegetables .",neutral
231,The ECB can mainly target inflation .,neutral
232,The group said it intends to initiate within this year the process of buyout of minority shareholders of Ragutis with the aim of becoming the sole owner of the company .,neutral
233,The unit is planned to be operational during the second half of 2007 and in full stream in 2008 .,neutral
234,"Elcoteq SE Stock Exchange Announcement February 4 , 2009 at 10.00 am ( EET ) Elcoteq will publish its financial statements bulletin 2008 on Wednesday , February 11 , at 9.00 am ( EET ) .",neutral
235,"In the Baltic countries , sales fell by 42.6 % .",negative
236,Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) said on Friday ( 27 June ) that it has completed employee negotiations regarding a reorganisation of its operations .,positive
237,`` Nokia is just interested in bring Nokia to the market . '',neutral
238,"All the ferries had run into trouble just outside the Stockholm archipelago , made up of more than 20,000 islands .",negative
239,"UPM is the biggest producer of magazine paper in Europe , with a market share of over 30 pct , and it is likely to say that prices in the segment were at best flat during the quarter , analysts said .",neutral
240,"Operating profit excluding non-recurring items decreased to EUR 6.2 mn from EUR 16.8 mn in 2007 , representing 2.3 % of net sales .",negative
241,Timo Penttila has been appointed new manager responsible for the asset management of Nordea 's institutional customers in Finland .,neutral
242,The company will issue an inaugural Eurobond deal in the near future subject to market conditions .,neutral
243,"Latin America currently accounts for approximately 40 % of sales at Finnish BSS-OSS and VAS supplier for telecoms operators Tecnotree , company president and CEO Eero Mertano told BNamericas .",neutral
244,The value of the order is around EUR 100 million .,neutral
245,"Operating profit totaled EUR 37,7 mn , up slightly from EUR 37.2 mn in the corresponding period in 2006 .",positive
246,"Honkarakenne mainly exports large luxury log houses to Russia to be used as one-family houses or holiday homes ; 70 % of sales go to the Moscow region , about 20 % to the St Petersburg region , and the remainder to other locations .",neutral
247,The company pledged that the new software would render e-mails and other documents much as they appear on desktop computers .,neutral
248,"If the employee leaves the company within the duration of the cover , the money invested to ensure commitment is returned to the company .",neutral
249,"SINGAPORE ( ICIS ) -- ( 1 ) Kemira and Indian water infrastructure firm ( 2 ) IVRCL have agreed to form a join venture which includes a new inorganic coagulant manufacturing facility in Andhra Pradesh state , India , the Finnish water treatment chemicals maker said on Tuesday .",positive
250,"Citigroup , Inc NYSE : C , Deutsche Bank NYSE : DB and Pohjola Bank are lead managers for the sale .",neutral
251,"The machine will have an annual production capacity of 200,000 tonnes of super-calendered magazine paper and other paper grades based on recovered fiber , Stora Enso said .",neutral
252,"`` I 'm trying to deal with slavery from a different perspective to balance the story , '' says DeRamus , formerly a writer at the Detroit Free Press and the Detroit News .",neutral
253,Efore 's results for the last quarter showed an even faster improvement as the company managed to better source its components .,positive
254,"Kaukopartio Oy has acquired specialized knowledge in Far Eastern operations , and industrial sourcing services are their core competence .",neutral
255,Oriola-KD is a spin-off of Finnish pharmaceutical group Orion Oyj 's wholesale division .,neutral
256,Finnish-Swedish Stora Enso does not understand the decision issued by a federal judge in Brazil concerning Stora Enso 's associated pulp company Veracel .,negative
257,"Following the issue , the new shares will constitute 10 percent of the firm 's capital .",neutral
258,"Progress Group , QPR 's representative in Saudi Arabia and North Africa , has signed a framework agreement for a long term strategic relationship with ISE .",positive
259,Fiskars will be undertaking community projects throughout the UK and they are also on the lookout for local volunteers who are interested in helping out with the selected restoration projects .,neutral
260,Patrizia adds the acquisition to a portfolio already worth EUR3bn .,neutral
261,"Simultaneously with this merger plan another merger plan has been signed , according to which Suomen Projektivuokraus Oy , a subsidiary of VTM-Rakennuskonevuokraamo Oy , would be merged with VTM-Rakennuskonevuokraamo Oy .",neutral
262,"According shipping company Viking Line , the EU decision will have a significant financial impact .",neutral
263,Combining this deep domain expertise with our Application Service Management ASM and outsourcing service offerings has now proved to be a winning combination .,positive
264,"In the Baltic countries , Atria 's target is organic growth .",neutral
265,"OMEO ( www.omeo.se ) employs 55 and expects net sales of some 23 mln euro ( $ 29.8 mln ) for fiscal 2006-2007 , ending April 30 , 2007 .",neutral
266,"Before FKI , John Jiang has worked in several general manager or senior business consultant positions for international companies in China .",neutral
267,"`` I am very pleased and proud of our performance last year , '' Chief Executive Juha Rantanen said in a statement .",positive
268,"Includes company and brand share data by category , as well as distribution channel data .",neutral
269,"GeoSentric is acquiring extra financing by issuing a maximum of 220,000 new shares and a convertible bond with subscription rights for 880,000 shares , which have been fully subscribed .",neutral
