,Unnamed: 0,sentence,label
65,248,"Finnish Bank of +ÃÂ land reports operating profit of EUR 2.2 mn in the first quarter of 2010 , down from EUR 6.3 mn in the corresponding period in 2009 .",negative
66,720,"In beers , Olvi retained its market position .",neutral
67,490,It is a solid credit that has been compared to a DZ Bank or a Rabobank .,positive
68,247,"At 1.33 pm , the OMX Helsinki 25 was 0.30 pct lower at 2,463.67 and the OMX Helsinki was down 0.37 pct at 8,537.42 on volume of 256 mln eur .",negative
69,43,Valmet Automotive reports net sales of EUR 85mn and operating profit of EUR 8mn .,neutral
70,605,"The process , technology , project management , basic engineering and quality assurance within Forest Industry will be consolidated in Vantaa , southern Finland .",neutral
71,622,"After the reporting period , BioTie North American licensing partner Somaxon Pharmaceuticals announced positive results with nalmefene in a pilot Phase 2 clinical trial for smoking cessation .",positive
72,146,Nokia has enough users to do just as well .,neutral
73,66,Consumers are now increasingly interested in what they can do with heir phones .,neutral
74,394,Swiss franc surged to record 1.42 euros after it reported sharpest gain in manufacturing in March .,positive
75,296,"Jul. 18 -- Police are looking for a man who they say terrorized three males at gunpoint on East Maple Avenue this afternoon , shooting one of them and kidnapping another .",negative
76,424,"In 2010 , the Marimekko Group s net sales were EUR 73,297 thousand ( EUR 72,473 thousand ) and operating profit was EUR 8,169 thousand ( EUR 6,291 thousand ) .",neutral
77,478,"Los Angeles-based Pacific Office Properties Trust acquires , owns , and operates office properties in the western U.S. , focusing initially on the markets of Honolulu , San Diego , Los Angeles , and Phoenix .",neutral
78,775,The use case dramatically narrows if you go only with the hot s Ltd.,neutral
79,192,"Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 .",negative
80,245,"The two companies will also partner in further developing Raiso 's cholesterol lowering brand , Benecol .",positive
81,418,"The expanded agreement covers the sale , marketing and distribution of Benefon 's navigation and locator devices in China .",neutral
82,832,"ALEXANDRIA , Va. , Oct. 6 -- United States Patent no. 7,804,288 , issued on Sept. 28 , was assigned to Vacon Oyj ( Vaasa , Finland ) .",neutral
83,543,"And earlier this month , the company signed a deal with India-based information technology services giant Wipro Technologies to transfer and sell its radio access related R&D activities in Berlin .",positive
84,368,"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",positive
85,552,"SysOpen Digia Plc , Press release , 7 February 2006 IBM Finland has rewarded its most distinguished partner companies for 2005 .",positive
86,696,"The floor area of the Yliopistonrinne project will be 7,900 sq m and the building 's gross area will total 12,800 sq m. A total 25.1 % of the facilities have been let .",neutral
87,353,European traffic grew nearly 30 % .,positive
88,166,"The company had net sales of EUR 10.8 million in 2008 , and today has approximately 120 employees in Finland , Estonia and Poland .",neutral
89,150,The value of the three-year contract is estimated at EUR40m .,neutral
90,90,For the new shares subscribed with stock options all shareholder rights commence from the date on which they are entered into the Trade Register .,neutral
91,0,"For the current year , Raute expects its net sales to increase and the operating result -- to be positive .",positive
92,903,Yvonne Jones is owner of Chameleon Interiors .,neutral
93,443,Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '' .,negative
94,479,"The remainder of its revenues will come from technology agreements with other firms , InterDigital said .",neutral
95,991,The total investment of the project will be approximately EUR 36m .,neutral
96,475,Finnish construction company YIT HEL : YTY1V said it had agreed to take over German facility engineering and facility systems firm Caverion for EUR73m USD90 .3 m .,neutral
97,851,"Honkarakenne also decided yesterday to sell 88,500 of its B-series shares to key staff members for EUR 2.90 per share .",neutral
98,364,"Net sales of Kyro 's main business area , Glaston Technologies , a manufacturer of glass processing machines , decreased to EUR 161.5 mn from EUR 164.1 mn in January-September 2005 .",negative
99,473,"`` We have tailored our solutions to meet Solel 's technical requirements , and the result is both cost-effective manufacturing and highest-quality reflectors . ''",positive
100,513,The full-function PC weighs 1.25 kilograms and measures slightly more than two centimeters thin .,neutral
101,241,The transaction is planned to be financed with a EUR40m market-based loan granted by Standard Chartered Bank Hong Kong .,neutral
102,185,The prices of stainless steel also rose in Europe .,neutral
103,180,"May 29 , 2010 ( CompaniesandMarkets.com delivered by Newstex ) -- This report provides key data and information on the meat , fish and poultry market in Finland .",neutral
104,278,Finnish investment company Neomarkka is the main owner of Kuitu Finland 's successor .,neutral
105,721,The contract will take effect in 2009 for a five or ten year period .,neutral
106,149,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",positive
107,25,The majority of the company 's personnel in Finland is temporarily laid off from one to six weeks in the period from February to June 2009 period .,negative
108,756,"The company has the poser , who wants to impress people with the latest handset .",neutral
109,290,Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn .,positive
110,255,"With the launch of new 3G handsets , Nokia aims to become the winner in China 's 3G market as it did in the 2G market .",positive
111,881,"These include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics .",neutral
112,239,The EA Reng group posted sales of approximately 84 million kroons for 2007 .,neutral
113,130,"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",negative
114,328,"It s an area that is highly valued , because most of the land there has already been built on .",neutral
115,698,The companies expect the first orders already in 2011 .,positive
116,382,Lemcon signed an investment cooperation agreement with the Kaluga regional administration last November .,positive
117,725,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive
118,311,"The company is involved in the the sale of financial products including insurance , mortgages , car and personal loans , financial brokerage and equipment finance leasing .",neutral
119,518,"HELSINKI Thomson Financial - Shares in Cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in April-June profits , which overshadowed the large number of new orders received during the three months .",negative
120,289,Sony Ericsson and Nokia dominated the list of best-selling handsets with five models each .,positive
121,35,Both sources said Nokia would unveil its new phone code-named `` Tube '' on Oct. 2 at an analyst and media event in London .,neutral
122,300,The plant is expected to enter commercial operation by mid-2009 .,neutral
123,951,The move was triggered by weak demand for forestry equipment and the uncertain market situation .,negative
124,859,Finnish pharmaceuticals company Orion 's net sales rose to EUR 190mn in the first quarter of 2009 from EUR 180mn in the first quarter of 2008 .,positive
125,617,The Board of Directors was authorized to decide on other terms of the share issue .,neutral
126,889,Stockmann MasterCard has widened the scope of this cooperation to Estonia and Latvia .,positive
127,995,Singapore in May 2011 1 July 2010 - Finnish air carrier Finnair Oyj ( HEL : FIA1S ) said today it will open a daily route to Singapore on 30 May 2011 as part of its growth strategy in Asia .,positive
128,579,Exel wants to serve its industrial customers with individual products .,neutral
129,243,"( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1",positive
130,852,"The total headcount reduction will be 50 persons , the company said .",negative
131,630,"`` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",positive
132,629,Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral
133,78,"In addition , we will launch a versatile online service to complete the traditional printed newspaper , Mr. Valkama says .",neutral
134,52,This resulted in improved sales figures in Sweden .,positive
135,595,"Aspocomp Group , headquartered in Helsinki , Finland , develops interconnection solutions for the electronics industry .",neutral
136,649,`` Consumers have very well received our packed fresh meat .,positive
137,625,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .",positive
138,719,"LKAB , headquartered in Lulea , Sweden , is a high-tech mining company producing upgraded iron ore products for the steel industry .",neutral
139,937,Finnish Raute Precision has won large glass batch plant and mortar plant orders from Mexico and the US .,positive
140,665,Atria will also buy the shares of Kauhajoen Teurastamokiinteistot Oy (Kauhajoki slaughterhouse property)from Itikka Co-operative .,neutral
141,291,The value of the contracts is about EUR 3.3 mn .,neutral
142,870,The acquisition is part of Ramirent 's strategy to strengthen its position in selected locations .,positive
143,578,"Through the new production lines at the Novator mill in Veliky Ustjug , Vologda Oblast , Sveza will change its current 1.5 m by 1.5 m birch plywood production targeting the domestic market to produce 1.5 m by 3.0 m overlaid birch plywood for the global market .",neutral
144,616,He is resting comfortably and is looking forward to getting back to work . '',neutral
145,27,AffectoGenimap builds highly customised IT solutions for its customers in Finland and the Baltic countries .,neutral
146,496,"Motorola accounted for 11.5 percent of the South Korean handset market as of the end of April , Samsung held 55 percent and LG Electronics 19 percent , according to Korea-based ATLAS Research Group .",neutral
147,365,"According to Eijkens , a publisher can do much more than just publish colourful books : a publisher can provide value added to information by individualising it .",neutral
148,940,"The restructuring creates a more efficient organization with increased operational focus and stable profitability , and leads to more efficient production , said Bo Annvik , head of Specialty Stainless .",positive
149,886,- Cash flow from operating activities before investments was EUR 7.6 million EUR 2.5 million .,neutral
150,739,Both companies ' existing investment plans will be coordinated .,neutral
151,59,"( ADP News ) - Oct 31 , 2008 - Finnish food company Raisio Oyj ( OMX : RAIVV ) said today that its net profit jumped to EUR 16.4 million ( USD 20.9 m ) for the first nine months of 2008 from EUR 1.1 million for the same period of 2",positive
152,531,Finnish energy company Fortum has set itself new stricter target limits for short-term carbon dioxide emissions from its heat and electricity production .,neutral
153,669,However short-term rentals are becoming more popular .,neutral
154,183,"In future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .",positive
155,755,"At the beginning of the subscription period on May 2 , 2006 the share subscription price under B option right is EUR 10.22 per share .",neutral
156,434,"On Dec. 1 , Grimaldi acquired 1.5 million shares and a 50.1-percent stake in Finnlines .",neutral
157,173,The Group 's revenue in 2008 amounted to EUR 94 million and the company currently employs approximately 730 people .,neutral
158,152,"`` Korean consumers are tech-savvy and leading the pack in terms of design , '' Gill Hyun-chang , president of Motorola Korea Inc. , told Dow Jones Newswires in an interview .",neutral
159,939,"O'Leary 's Material Handling Services , located in Perth , is the leading company in Western Australia that supplies , installs and provides service for tail lifts .",positive
160,809,Finnish media company Talentum Oyj 's net profit decreased to 2.5 mln euro ( $ 4.0 mln ) for the first quarter of 2008 from 3.0 mln euro ( $ 4.7 mln ) for the same period of 2007 .,negative
161,642,"TVO 's two-unit 1,740 MW Olkiluoto plant generated 14.2 TWh with an operating ratio across both reactors of 93.5 % , which the company described as `` high by international standards '' .",neutral
162,735,"EBITDA for the year 2009 improved to EUR484m , as compared with EUR472m in 2008 .",positive
163,716,Pharmaceuticals - Czech Republic This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Czech Republic .,neutral
164,857,"CapMan has four investment areas ( CapMan Buyout , CapMan Technology , CapMan Life Science and CapMan Real Estate ) , and each of them has a dedicated team .",neutral
165,738,The total capital of funds managed by the bank decreased by 28 % to EUR 284mn by the end of September 2008 .,negative
166,334,"Tyrvaan Sanomat , published twice a week by Tyrvaan Sanomat Oy , appears in Sastamala and Kiikoinen .",neutral
167,879,"HELSINKI ( Thomson Financial ) - Kone said it has won four orders in Saudi Arabia , United Arab Emirates and Qatar worth 40 mln eur .",positive
168,787,"Operating profit totalled EUR 9.6 mn , down from EUR 42.0 mn the year before .",negative
169,601,"`` The biggest challenge was to make the piece look raw , '' Hansen said .",neutral
170,532,Finnish business software group AffectoGenimap Oyj said its net profit halved to 1.2 mln euro ( $ 1.5 mln ) in the first nine months of 2006 from 2.2 mln euro ( $ 2.8 mln ) in the same period of 2005 .,negative
171,195,"`` Over the years , the color orange has become synonymous with quality .",neutral
172,234,"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",negative
173,123,"The platform is based built on Intel s second-generation MID platform , called Moorestown .",neutral
174,784,The company 's previous estimate was for a lower revenue than the year-ago EUR 93.9 million .,negative
175,771,"An additional amount , capped at EUR12m , is payable in cash upon the achievement of certain financial performance targets in 2007 .",neutral
176,159,They will cover all Forest Industry 's units and employees in Finland and concern temporary and permanent lay-offs .,negative
177,176,The terms of the transactions remained undisclosed .,neutral
178,381,"Operating profit was EUR 24.5 mn , up from EUR 23.0 mn .",positive
179,835,The estimated annual value of the frame agreement is about EUR 50mn .,neutral
180,385,"Sullivan said some of the boards `` really involve a lot of work , and people should get paid for their time . ''",neutral
181,736,"In the survey , Goodyear is the third most valued tyre brand , followed by Continental and Bridgestone .",neutral
182,512,"In the first nine months of 2010 , the company 's net loss narrowed to EUR 415,000 from EUR 7.4 million for the corresponding period of 2009 .",positive
183,462,"The wireless industry is bracing itself for the iPhone , which will launch on June 29 .",neutral
184,599,"London 's leading shares today jumped almost 100 points , or 1.7 % , as the market opened .",positive
185,583,"Order intake , on the other hand , is expected to be stronger than in 2007 .",positive
186,284,The company is well positioned in Brazil and Uruguay .,positive
187,923,The unit is planned to be operational during the second half of 2007 and in full stream in 2008 .,neutral
188,439,"Finnish Neste Oil that was previously on the list , has fallen off the list completely .",neutral
189,890,Aldata to Share Space Optimization Vision at Apollo User Group and 2009 Category Management Association Conferences ; Company Will Unveil New Solution that Combines Business Intelligence with Space Planning Data at Conferences,neutral
190,74,"Sampo Housing Loan Bank , a unit of Finland 's Sampo Bank , has priced its EUR1bn ( USD1 .3 bn ) bond at 99.889 % , Reuters reported .",neutral
191,87,"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .",positive
192,6,"Luna took fifth place on six-under 207 , a shot behind Spain 's Beatriz Recari and Germany 's Martina Eberl , while Welsh player Becky Brewerton was the highest-placed British finisher , sharing seventh place on three-under 210 after shooting 71 .",neutral
193,656,"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 .",positive
194,453,"The mall is part of the Baltic Pearl development project in the city of St Petersburg , where Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing homes for 35,000 people .",neutral
195,677,"The acquisition does not have to be from the frozen foods or fish sector , as long as it has synergies with L+ÃÂ±nnen Tehtaat 's other businesses .",neutral
196,596,"Ragutis , which is based in Lithuania 's second-largest city Kaunas , boosted its sales last year 22.3 per cent to 36.4 million liters .",positive
197,945,"In the third quarter of 2007 , net sales totaled EUR 25.95 mn , and operating profit EUR 3.88 mn .",neutral
198,959,Autotank Group is part of Aspo 's Systems Division .,neutral
199,39,BM4 middle layer headbox will be equipped with a dilution control system .,neutral
200,336,"L&T is operative in Finland , Sweden , Latvia , Russia and Norway .",neutral
201,266,The Efore plant at Saarijarvi in central Finland is one of the largest employers in the region .,neutral
202,745,`` The CHF is a great product .,positive
203,975,"The purchase price will be paid in cash upon the closure of the transaction , scheduled for April 1 , 2009 .",neutral
204,830,"The company designs and manufactures high-quality clothing , interior decoration textiles , bags , and other accessories .",neutral
205,2,"The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe , from where they will be delivered to VR for welding and assembly .",neutral
206,872,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",positive
207,683,"The contract traded at an all-time high of $ 50,200 a ton on April 24 .",neutral
208,158,"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive
209,425,The value of the orders is about EUR 70mn .,neutral
210,715,Profit for the period was EUR 15.6 mn compared to EUR 14.1 mn in 2007 .,positive
211,707,"In December , Amer announced the dismissal of CEO Roger Talermo , who had headed the company since 2006 .",neutral
212,899,"Alma Media Corporation PRESS RELEASE March 25 , 2010 TYRV+ÃÂ¤+ÃÂ¤N SANOMAT PURCHASE CONFIRMED The business operations of Tyrv+ÃÂ±+ÃÂ±n Sanomat Oy will be transferred to Suomen Paikallissanomat Oy .",neutral
213,564,The borrower was happy to do the roadshow and this paid off as the hit ratio from it was high .,positive
214,893,The winner does not have to be present to win .,neutral
215,110,You will hear the latest insights and updates on Citycon 's strategy as well as the latest news from all the business units .,neutral
216,485,"Anttila 's online department store - NetAnttila - has an established position as the best-known , most visited and most shopped online store in Finland  .",neutral
217,866,This amount will not be included in the pensionable salary .,neutral
218,205,It offers advanced machinery maintenance and process development services to the pulp and paper industry in Northern China .,neutral
219,547,"The firm 's UK head office is in Rugby Road , Lutterworth .",neutral
220,288,The dismissed staff members will now take the matter to court unless it can be settled outside .,negative
221,124,Jon Risfelt is 49 years old holds a Master of Science in Chemical Engineering from the Swedish Royal Institute of Technology .,neutral
222,944,The value of the order is USD 2.3 mn .,neutral
223,29,The previous offer was 3.4 % of voting rights and 12.3 % of capital .,neutral
224,456,Net sales fell by 5 % from the previous accounting period .,negative
225,983,Outokumpu 's chief executive Juha Rantanen expressed his confidence in China market .,positive
226,91,"Finland 's Neste Oil has been awarded the Chemical Industry Federation of Finland 's Innovation Award for its NExBTL technology , which enables biodiesel to be produced from vegetable oil and animal fat .",positive
227,465,"Kesko Agro Lietuva , the agricultural machinery and grain trader and another member of the Kesko Group , boosted its sales by 42.9 percent to 13.4 million euros , VAT inclusive .",positive
228,401,The enterprise value of Maritim Food AS has been determined as approximately EUR15m .,neutral
229,762,The annual net sales of the unit is some EUR 5 million and it currently employs some 55 people .,neutral
230,252,Unilever 's Turun Sinappi that is made in Sweden holds 40 % of the market .,neutral
231,822,"In 2008 , the deal is likely to bring savings of EUR 20mn-25mn .",positive
232,528,The four-year contract between the bank and Ski Sport Finland will bring the bank 's advertisements to skiers helmets and caps .,neutral
233,321,Net sales fell by 33 % from the third quarter of 2008 to EUR 130.5 mn .,negative
234,504,Upon completion of the deal Panostaja will establish a new business area within the group to focus on heat treatment of metals .,neutral
235,330,Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January .,neutral
236,864,"Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 .",positive
237,688,The production is to be liquidated before June 2009 and 325 employees loose their jobs .,negative
238,911,"Rautalinko was resposnible also for Mobility Services , and his job in this division will be continued by Marek Hintze .",neutral
239,442,"Amer Sports divests an industrial site in Rumilly , France -  This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .",neutral
240,933,"Following the move , Stora Enso holding in NewPage will remain unchanged .",neutral
241,370,"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Hong Kong , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Finland , Canada , Russia , Ukraine , Denmark , Ireland , South Korea and Liechtenstein .",neutral
242,624,`` Our design team has long admired Marimekko 's vivid patterns and colors .,positive
243,219,"Finnair expands : Finnair plans to add more flights on routes to Hong Kong , India and Russia .",positive
244,133,`` BG Crane has been a strong partner for Hiab in Australia for many years .,neutral
245,112,Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,positive
246,685,The divested activities had net sales of EUR 145.1 million in 2009 and an operating profit of EUR 8.9 million .,neutral
247,194,8 May 2009 - Finnish liquid handling products and diagnostic test systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss narrowed to EUR0 .1 m ( USD0 .14 m ) for the first quarter of 2009 from EUR0 .4 m for the same period of 2008 .,positive
248,868,"no compensation for its news , opinions or distributions .",neutral
249,626,25 March 2011 - Finnish electronics contract manufacturer Scanfil Oyj HEL : SCF1V said today its plan to merge wholly owned Scanfil EMS Group with Ojala-Yhtyma Oy has hit a snag as shareholders of the domestic rival rejected the deal .,negative
250,765,The Commission is to be applauded for applying a fact-based and data-driven approach and for providing clarity for future petitions .,positive
251,11,Nordea Pankki Suomi Oyj 's ownership in Stonesoft Corporation has decreased below 1-20 .,neutral
252,187,`` Our aim is to understand different traffic patterns based on the use of each building .,neutral
253,258,The contract includes heating plant equipment and associated installation work .,neutral
254,199,"Mika Stahlberg , VP F-Secure Labs , said , `` We are excited and proud that F-Secure has been recognized by AV-Comparatives as the Product of the Year .",positive
255,333,Sales at the unit slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006-07 .,negative
256,803,"The company will disclose further details , including the anticipated transaction timetable and the name of the new investor , within one week .",neutral
257,580,This wood lacquered clock comes with a stripy hand-crocheted cover .,neutral
258,275,"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .",neutral
